file,expected_class,predicted_class,predicted_confidence,expected_class_confidence,flag
external/inaturalist/cobra/246401642_439878365.jpg,cobra,depath-naya,0.2151,0.0042,mismatch
external/inaturalist/cobra/247875673_442794881.jpg,cobra,cobra,0.2743,0.2743,
external/inaturalist/cobra/248708169_444449556.jpg,cobra,kana-ulla,0.0707,0.0131,mismatch
external/inaturalist/cobra/248708169_444449578.jpg,cobra,mal-randanakaya,0.1061,0.0073,mismatch
external/inaturalist/cobra/250284509_447590272.jpg,cobra,depath-naya,0.1463,0.0581,mismatch
external/inaturalist/cobra/250284509_447590283.jpg,cobra,garandiya,0.1116,0.0416,mismatch
external/inaturalist/cobra/250284509_447590284.jpg,cobra,kuda-madilla,0.1465,0.0733,mismatch
external/inaturalist/cobra/250284509_447590303.jpg,cobra,kuda-madilla,0.1062,0.0363,mismatch
external/inaturalist/cobra/252274815_451571967.jpg,cobra,depath-naya,0.0837,0.0127,mismatch
external/inaturalist/cobra/253513898_453943361.jpg,cobra,kabara-dathkatiya,0.0901,0.0353,mismatch
external/inaturalist/cobra/254980668_456844711.jpg,cobra,palabariya,0.1510,0.0140,mismatch
external/inaturalist/cobra/255585140_458054286.jpg,cobra,pimbura,0.1093,0.0107,mismatch
external/inaturalist/cobra/255585140_458054298.jpg,cobra,pimbura,0.1970,0.0093,mismatch
external/inaturalist/cobra/255586853_458057396.jpg,cobra,pimbura,0.1057,0.0175,mismatch
external/inaturalist/cobra/256638370_460189553.jpg,cobra,kata-kaluwa,0.1727,0.1180,mismatch
external/inaturalist/cobra/259613648_466068179.jpg,cobra,kunakatuwa,0.2499,0.0060,mismatch
external/inaturalist/cobra/259613648_466068196.jpg,cobra,kunakatuwa,0.2220,0.0089,mismatch
external/inaturalist/cobra/259613648_466068214.jpg,cobra,kunakatuwa,0.3585,0.0059,mismatch
external/inaturalist/cobra/259613648_466068237.jpg,cobra,arani-dathkatiya,0.1745,0.1096,mismatch
external/inaturalist/cobra/259613648_466068261.jpg,cobra,arani-dathkatiya,0.1758,0.0354,mismatch
external/inaturalist/cobra/260147957_467130058.jpg,cobra,alu-randanakaya,0.4532,0.0048,mismatch
external/inaturalist/cobra/260327649_467490652.jpg,cobra,kata-kaluwa,0.0761,0.0153,mismatch
external/inaturalist/cobra/260327649_467490674.jpg,cobra,arani-dathkatiya,0.1524,0.0020,mismatch
external/inaturalist/cobra/260887527_468594409.jpg,cobra,cobra,0.1609,0.1609,
external/inaturalist/cobra/263913615_474196063.jpg,cobra,lanka-diyabariya,0.1398,0.0127,mismatch
external/inaturalist/cobra/263913615_474196076.jpg,cobra,pimbura,0.2096,0.0495,mismatch
external/inaturalist/cobra/263913615_474196077.jpg,cobra,thel-karawala,0.1003,0.0283,mismatch
external/inaturalist/cobra/263913615_474196107.jpg,cobra,lanka-diyabariya,0.2703,0.0023,mismatch
external/inaturalist/cobra/273031256_491158935.jpg,cobra,diyawaranaya,0.2190,0.0071,mismatch
external/inaturalist/cobra/280481346_503762973.jpg,cobra,kana-ulla,0.2213,0.0011,mismatch
external/inaturalist/cobra/285279356_512772375.jpg,cobra,depath-kaluwa,0.4602,0.0057,mismatch
external/inaturalist/cobra/285911317_514104580.jpg,cobra,kunu-diya-kaluwa,0.1980,0.0075,mismatch
external/inaturalist/cobra/311720566_562734477.jpg,cobra,mudu-karawala,0.2602,0.0566,mismatch
external/inaturalist/cobra/318804636_576223102.jpg,cobra,garandiya,0.3534,0.0023,mismatch
external/inaturalist/cobra/318804636_576223112.jpg,cobra,garandiya,0.2295,0.0044,mismatch
external/inaturalist/cobra/318804636_576223113.jpg,cobra,nidi-mapila,0.2032,0.0116,mismatch
external/inaturalist/cobra/324833813_588027608.jpg,cobra,thel-karawala,0.1946,0.0092,mismatch
external/inaturalist/cobra/324833813_588027640.jpg,cobra,daara-randanakaya,0.2926,0.0056,mismatch
external/inaturalist/cobra/325291753_588933268.jpg,cobra,depath-naya,0.2039,0.0107,mismatch
external/inaturalist/cobra/325450808_589254163.jpg,cobra,nidi-mapila,0.1597,0.0093,mismatch
external/inaturalist/cobra/325537119_589418676.jpg,cobra,kata-kaluwa,0.3413,0.0172,mismatch
external/inaturalist/cobra/326485415_591310597.jpg,cobra,aharakukka,0.2447,0.0030,mismatch
external/inaturalist/cobra/326485415_591310662.jpg,cobra,aharakukka,0.1558,0.0164,mismatch
external/inaturalist/cobra/328921487_596130078.jpg,cobra,thith-polanga,0.3476,0.0131,mismatch
external/inaturalist/cobra/328921487_598915982.jpg,cobra,aharakukka,0.1731,0.0124,mismatch
external/inaturalist/cobra/328921487_598915983.jpg,cobra,kata-kaluwa,0.3459,0.0034,mismatch
external/inaturalist/cobra/330226787_598765312.jpg,cobra,depath-naya,0.2339,0.0026,mismatch
external/inaturalist/cobra/334234317_606921626.jpg,cobra,diyawaranaya,0.1296,0.0065,mismatch
external/inaturalist/cobra/334234317_606921640.jpg,cobra,depath-naya,0.1837,0.0059,mismatch
external/inaturalist/cobra/334234317_606921649.jpg,cobra,diyawaranaya,0.3034,0.0074,mismatch
external/inaturalist/cobra/337819416_614198686.jpg,cobra,thuru-haldanda,0.2656,0.0086,mismatch
external/inaturalist/cobra/338213937_615009116.jpg,cobra,kuda-madilla,0.2679,0.0276,mismatch
external/inaturalist/cobra/339174964_616947931.jpg,cobra,garandiya,0.3303,0.0793,mismatch
external/inaturalist/cobra/339387508_617385330.jpg,cobra,cobra,0.1262,0.1262,low_confidence
external/inaturalist/cobra/339806569_618233859.jpg,cobra,cobra,0.2217,0.2217,
external/inaturalist/cobra/339806569_618233894.jpg,cobra,kabara-randanakaya,0.2892,0.2175,mismatch
external/inaturalist/cobra/339806569_618233916.jpg,cobra,mudu-karawala,0.1557,0.1228,mismatch
external/inaturalist/cobra/339806569_618233942.jpg,cobra,cobra,0.2062,0.2062,
external/inaturalist/cobra/340040450_618712848.jpg,cobra,kabara-randanakaya,0.2799,0.2569,mismatch
external/inaturalist/cobra/340040450_618712869.jpg,cobra,rana-mapila,0.1226,0.0472,mismatch
external/inaturalist/cobra/340040450_618712881.jpg,cobra,cobra,0.1714,0.1714,
external/inaturalist/cobra/340040450_618712906.jpg,cobra,cobra,0.3524,0.3524,
external/inaturalist/cobra/342604533_623934797.jpg,cobra,cobra,0.4204,0.4204,
external/inaturalist/cobra/342604533_623934893.jpg,cobra,mudu-karawala,0.2527,0.1622,mismatch
external/inaturalist/cobra/342604533_623935098.jpg,cobra,thel-karawala,0.2251,0.0761,mismatch
external/inaturalist/cobra/346955793_632532408.jpg,cobra,vayiri-dathkatiya,0.2048,0.0060,mismatch
external/inaturalist/cobra/346955793_632532421.jpg,cobra,thith-polanga,0.1057,0.0101,mismatch
external/inaturalist/cobra/348058223_634723468.jpg,cobra,kabara-randanakaya,0.2521,0.0999,mismatch
external/inaturalist/cobra/348058223_634723469.jpg,cobra,kabara-randanakaya,0.5251,0.0349,mismatch
external/inaturalist/cobra/348058223_634723471.jpg,cobra,kabara-randanakaya,0.4158,0.1278,mismatch
external/inaturalist/cobra/348058223_634723478.jpg,cobra,alu-randanakaya,0.1967,0.0309,mismatch
external/inaturalist/cobra/350291961_639112821.jpg,cobra,garandiya,0.3621,0.0706,mismatch
external/inaturalist/cobra/350778518_640065501.jpg,cobra,cobra,0.1419,0.1419,low_confidence
external/inaturalist/cobra/350778568_640066383.jpg,cobra,mudu-karawala,0.2273,0.0953,mismatch
external/inaturalist/cobra/354452231_646602823.jpg,cobra,nidi-mapila,0.1407,0.0281,mismatch
external/inaturalist/cobra/371269933_678298139.jpg,cobra,mal-randanakaya,0.2452,0.0270,mismatch
external/inaturalist/cobra/375468033_686407369.jpg,cobra,cobra,0.2993,0.2993,
external/inaturalist/cobra/386342607_707363847.jpg,cobra,cobra,0.4051,0.4051,
external/inaturalist/cobra/388117493_710792629.jpg,cobra,kata-kaluwa,0.3101,0.0011,mismatch
external/inaturalist/cobra/389309156_713096580.jpg,cobra,nidi-mapila,0.1461,0.0043,mismatch
external/inaturalist/daara-randanakaya/104964244_176000720.jpg,daara-randanakaya,kunakatuwa,0.3134,0.0204,mismatch
external/inaturalist/daara-randanakaya/104964244_176000724.jpg,daara-randanakaya,kunakatuwa,0.3134,0.0204,mismatch
external/inaturalist/daara-randanakaya/119369786_201781635.jpg,daara-randanakaya,kunakatuwa,0.6034,0.0045,mismatch
external/inaturalist/daara-randanakaya/12047179_17271367.jpg,daara-randanakaya,arani-dathkatiya,0.0982,0.0537,mismatch
external/inaturalist/daara-randanakaya/125597336_213005500.jpg,daara-randanakaya,daara-randanakaya,0.3565,0.3565,
external/inaturalist/daara-randanakaya/125597336_213008548.jpg,daara-randanakaya,panduru-haldanda,0.2026,0.0078,mismatch
external/inaturalist/daara-randanakaya/125597336_213008556.jpg,daara-randanakaya,lanka-diyabariya,0.1411,0.0462,mismatch
external/inaturalist/daara-randanakaya/150916734_260317576.jpg,daara-randanakaya,gata-randanakaya,0.2578,0.0678,mismatch
external/inaturalist/daara-randanakaya/154389361_266763896.jpg,daara-randanakaya,kunakatuwa,0.3993,0.0034,mismatch
external/inaturalist/daara-randanakaya/154389361_266763908.jpg,daara-randanakaya,mal-randanakaya,0.2045,0.0109,mismatch
external/inaturalist/daara-randanakaya/154389361_266763921.jpg,daara-randanakaya,arani-dathkatiya,0.2361,0.0740,mismatch
external/inaturalist/daara-randanakaya/154398811_266780556.jpg,daara-randanakaya,mudu-karawala,0.5143,0.0025,mismatch
external/inaturalist/daara-randanakaya/154475655_266918267.jpg,daara-randanakaya,dathi-gomaraya,0.1485,0.0212,mismatch
external/inaturalist/daara-randanakaya/182483306_318181062.jpg,daara-randanakaya,arani-dathkatiya,0.3667,0.0009,mismatch
external/inaturalist/daara-randanakaya/182817593_318826869.jpg,daara-randanakaya,daara-randanakaya,0.2246,0.2246,
external/inaturalist/daara-randanakaya/18494153_28283986.jpg,daara-randanakaya,kandukara-mukalan-thelissa,0.3370,0.0302,mismatch
external/inaturalist/daara-randanakaya/194288401_341477271.jpg,daara-randanakaya,daara-randanakaya,0.1691,0.1691,
external/inaturalist/daara-randanakaya/19612405_30196147.jpg,daara-randanakaya,daara-randanakaya,0.2903,0.2903,
external/inaturalist/daara-randanakaya/199059183_350973192.jpg,daara-randanakaya,diyawaranaya,0.1639,0.0066,mismatch
external/inaturalist/daara-randanakaya/203354436_359277478.jpg,daara-randanakaya,pala-polanga,0.1547,0.0211,mismatch
external/inaturalist/daara-randanakaya/206790135_365704301.jpg,daara-randanakaya,lanka-diyabariya,0.1078,0.0100,mismatch
external/inaturalist/daara-randanakaya/21418536_33137219.jpg,daara-randanakaya,daara-randanakaya,0.4012,0.4012,
external/inaturalist/daara-randanakaya/223008219_395094839.jpg,daara-randanakaya,arani-dathkatiya,0.0903,0.0408,mismatch
external/inaturalist/daara-randanakaya/224596209_398090670.jpg,daara-randanakaya,thel-karawala,0.4302,0.0779,mismatch
external/inaturalist/daara-randanakaya/252259708_451542296.jpg,daara-randanakaya,mal-randanakaya,0.2301,0.0051,mismatch
external/inaturalist/daara-randanakaya/256463513_459833669.jpg,daara-randanakaya,daara-randanakaya,0.3248,0.3248,
external/inaturalist/daara-randanakaya/259437610_465716760.jpg,daara-randanakaya,diyawaranaya,0.1466,0.0813,mismatch
external/inaturalist/daara-randanakaya/259437610_465716761.jpg,daara-randanakaya,kuda-madilla,0.2344,0.0252,mismatch
